	http://blog.outer-court.com/rss.xml	http://feeds.abcnews.com/abcnews/blotterheadlines	http://feeds.feedburner.com/37signals/beMH	http://feeds.feedburner.com/GoogleOperatingSystem	http://feeds.feedburner.com/JohnBattellesSearchblog	http://feeds.feedburner.com/Mashable	http://feeds.feedburner.com/andrewsullivan/rApM	http://feeds.feedburner.com/blogspot/bRuz	http://feeds.feedburner.com/paulstamatiou	http://feeds.feedburner.com/pjmedia/instapundit	http://feeds.feedburner.com/powerlineblog/livefeed	http://gizmodo.com/index.xml	http://gofugyourself.typepad.com/go_fug_yourself/index.rdf	http://googleblog.blogspot.com/rss.xml	http://headrush.typepad.com/creating_passionate_users/index.rdf	http://joi.ito.com/index.rdf	http://michellemalkin.com/feed/	http://moblogsmoproblems.blogspot.com/rss.xml	http://newsbusters.org/node/feed	http://radar.oreilly.com/index.rdf	http://rss.slashdot.org/Slashdot/slashdot	http://scienceblogs.com/pharyngula/feed/	http://scobleizer.wordpress.com/feed/	http://sethgodin.typepad.com/seths_blog/index.rdf	http://thinkprogress.org/feed/	http://www.topix.com//rss/news/blogs	https://blog.zawodny.com/feed/	https://gigaom.com/feed/	https://guykawasaki.com/feed/	https://searchenginewatch.com/tag/rss-feed/feed/
family	0	0	2.0	0	0	3.0	0	2.0	3.0	0	1.0	0	0	4.0	0	0	0	0	30.0	0	1.0	0	0	0	1.0	0	0	0	0	0
far	0	0	2.0	0	0	2.0	0	0	5.0	3.0	0	0	0	0	0	0	0	1.0	16.0	0	0	0	1.0	0	3.0	0	0	0	0	0
fashion	0	0	0	3.0	0	1.0	0	0	0	0	0	0	0	2.0	0	0	0	0	2.0	0	0	0	0	0	0	3.0	0	0	0	1.0
favorite	0	0	0	2.0	0	1.0	2.0	0	6.0	0	0	0	0	6.0	0	0	0	2.0	3.0	0	0	0	0	0	0	0	1.0	0	1.0	0
feature	2.0	0	0	11.0	1.0	2.0	0	0	8.0	0	0	0	0	2.0	1.0	0	0	0	3.0	0	0	0	0	0	0	0	0	0	0	0
features	0	0	3.0	4.0	1.0	1.0	0	0	9.0	0	0	0	0	0	0	0	0	0	2.0	0	2.0	0	1.0	0	0	0	0	0	0	0
feed	0	0	2.0	0	2.0	0	0	0	40.0	0	0	0	0	1.0	0	0	0	3.0	4.0	1.0	0	0	0	0	0	0	1.0	0	0	0
feel	1.0	0	10.0	1.0	0	0	0	1.0	21.0	0	0	0	0	10.0	1.0	0	0	2.0	15.0	0	0	0	0	0	0	1.0	0	0	0	0
feeling	0	0	4.0	3.0	0	1.0	0	0	4.0	0	0	0	0	1.0	1.0	0	0	0	8.0	0	0	0	0	0	0	0	0	0	0	0
few	1.0	0	5.0	1.0	0	4.0	0	3.0	64.0	0	0	0	0	7.0	1.0	1.0	0	22.0	8.0	0	1.0	0	0	0	2.0	2.0	1.0	0	0	1.0
figure	0	0	6.0	0	1.0	0	0	1.0	7.0	0	0	0	0	1.0	0	0	0	3.0	7.0	0	1.0	0	1.0	0	0	0	0	0	1.0	0
file	0	0	4.0	4.0	0	5.0	0	0	26.0	0	0	0	0	0	0	0	0	0	8.0	0	0	0	0	0	0	0	0	0	0	0
find	2.0	0	10.0	1.0	0	3.0	2.0	1.0	31.0	1.0	1.0	0	0	10.0	0	0	0	9.0	10.0	0	0	0	1.0	0	1.0	3.0	0	0	0	1.0
finding	0	0	2.0	0	0	1.0	1.0	0	8.0	0	0	0	0	0	0	0	0	2.0	2.0	1.0	1.0	0	0	0	0	0	0	0	0	0
five	3.0	0	0	0	5.0	0	1.0	2.0	1.0	0	0	0	0	4.0	0	1.0	0	0	10.0	0	1.0	0	0	0	1.0	0	0	0	1.0	0
